,numeroMuseo,numeroCampo,familia,genero,especie,localidad,latitud,longitud,fechaInicioColeccion,colector,altitudMax,altitudMin,year,5years,decade,institutionCode,scientificName,catalogNumber,Locacion,Elevation,geometry,elevation,elev_category
81,QCA20447,912,Betulaceae,Alnus,acuminata,"Carretera antigua Chillogallo a San Juan Chiriboga a Empalme, km 27.",-0.296944,-78.6464,1986-02-21T00:00:00,V. Zak,3180.0,,1986.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-78.6464 -0.296944),[3288.],3000-3500
82,QCA20448,11283,Betulaceae,Alnus,acuminata,"Cotacachi, Laguna de Cuicocha ",0.466667,-78.2833,1990-07-18T00:00:00,C.E. Cer¢n,2500.0,,1990.0,1990.0,1990.0,QCA,Alnus acuminata,,,,POINT (-78.2833 0.466667),[3803.],> 3500
83,QCA20449,11365,Betulaceae,Alnus,acuminata,IMANTAG: Parroquia Quitumbita.,0.366667,-78.2333,1990-07-20T00:00:00,C.E. Cer¢n,1800.0,,1990.0,1990.0,1990.0,QCA,Alnus acuminata,,,,POINT (-78.2333 0.366667),[2253.],2001-2500
84,QCA20450,11405A,Betulaceae,Alnus,acuminata,San Miguel de Urcuqui  Parroquia Urcuqui.  Informante: Vicente Santacruz.,0.416667,-78.1833,1990-07-20T00:00:00,C.E. Cer¢n,2309.0,,1990.0,1990.0,1990.0,QCA,Alnus acuminata,,,,POINT (-78.1833 0.416667),[2317.],2001-2500
85,QCA20451,19546,Betulaceae,Alnus,acuminata,Riobamba; Mercado San Alfonso (feria de s bados),-1.66667,-78.65,1992-07-19T00:00:00,C.E. Cer¢n,2900.0,,1992.0,1990.0,1990.0,QCA,Alnus acuminata,,,,POINT (-78.65 -1.66667),[2765.],2500-3000
86,QCA20452,4846,Betulaceae,Alnus,acuminata,Cant¢n Rumi¤ahui. Parroquia Amagua¤a,-0.45,-78.4667,1988-09-10T00:00:00,C.E. Cer¢n,3500.0,4300.0,1988.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-78.4667 -0.45),[3674.],> 3500
87,QCA20453,6863,Betulaceae,Alnus,acuminata,Canton Quito. Parroquia Nanegalito,0.0833333,-78.6667,1989-06-14T00:00:00,C.E. Cer¢n,1200.0,,1989.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-78.6667 0.0833333),[1319.],1001-1500
88,QCA20454,50,Betulaceae,Alnus,acuminata,"Montufar  Cant¢n Mont£far. Loma El Coraz¢n (Breta¤a), al sureste de Huaca, al este de la Colonia Huaque¤a. R¡o Minas. Bosque primario; suelos volc nicos.",0.6,-77.7,1989-04-29T00:00:00,G. Tipaz,3200.0,3500.0,1989.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-77.7 0.6),[3560.],> 3500
89,QCA20455,10368,Betulaceae,Alnus,acuminata,Pululahua. ,0.0166667,-78.4833,1940-01-19T00:00:00,E. Asplund,2300.0,,1940.0,1940.0,1940.0,QCA,Alnus acuminata,,,,POINT (-78.4833 0.0166667),[2922.],2500-3000
90,QCA20456,9842,Betulaceae,Alnus,acuminata,"Cordillera de Llanganates, valley of R¡o Sangarinas Desaguadero, La Trinca.",-1.16667,-78.35,1939-11-24T00:00:00,E. Asplund,3000.0,,1939.0,1935.0,1930.0,QCA,Alnus acuminata,,,,POINT (-78.35 -1.16667),[4216.],> 3500
91,QCA210319,755,Betulaceae,Alnus,acuminata,Tinguichaca.,-2.23222,-78.4433,2010-08-29T00:00:00,S. Duchicela,2870.0,,2010.0,2010.0,2010.0,QCA,Alnus acuminata,,,,POINT (-78.4433 -2.23222),[2866.],2500-3000
92,QCA211026,50,Betulaceae,Alnus,acuminata,"Cant¢n Mont£far, Loma El Coraz¢n (Breta¤a), al sureste de Huaca, al este de la colonia Huaque¤a. R¡o Minas.",0.583333,-77.7,1989-04-29T00:00:00,G. Tipaz,3200.0,3500.0,1989.0,1985.0,1980.0,QCA,Alnus acuminata,,,,POINT (-77.7 0.583333),[3434.],3000-3500
93,QCA213861,26733,Betulaceae,Alnus,acuminata,"Carretero Cuenca-Loja, 8 km de Cumbre en direcci¢n a Loja.",-3.146,-79.026,2008-06-23T00:00:00,J. Jaramillo,3196.0,,2008.0,2005.0,2000.0,QCA,Alnus acuminata,,,,POINT (-79.026 -3.146),[3083.],3000-3500
94,QCA216305,934,Betulaceae,Alnus,acuminata,Sangay-Zu¤ac.,-2.19417,-78.3558,2011-08-04T00:00:00,S. Duchicela,2522.0,,2011.0,2010.0,2010.0,QCA,Alnus acuminata,,,,POINT (-78.3558 -2.19417),[2533.],2500-3000
95,QCA217330,393,Betulaceae,Alnus,acuminata,"Sigsipamba v¡a Pifo, colina cercana a canteras. ",-0.241111,-78.3181,2012-03-17T00:00:00,L. Delgado,2813.0,,2012.0,2010.0,2010.0,QCA,Alnus acuminata,,,,POINT (-78.3181 -0.241111),[2796.],2500-3000
96,QCA223765,6218,Betulaceae,Alnus,acuminata,"Colecciones a lo largo del camino entre San Jos de Minas, Pataqui, Hacienda Pisabo, Las Antenas (Reserva Cerro Blanco).",0.166667,-78.3667,2013-04-27T00:00:00,A.J. Prez,2200.0,3500.0,2013.0,2010.0,2010.0,QCA,Alnus acuminata,,,,POINT (-78.3667 0.166667),[2369.],2001-2500
97,QCA232003,8244,Betulaceae,Alnus,acuminata,V¡a Salcedo-Tena. Colecciones alrededor del sector Yacupamba.,-0.990833,-78.2992,2015-02-22T00:00:00,A.J. Prez,3233.0,,2015.0,2015.0,2010.0,QCA,Alnus acuminata,,,,POINT (-78.2992 -0.990833),[3282.],3000-3500
100,QCA249371,18539,Betulaceae,Alnus,acuminata,"Loja-Malacatos Road, km 15.",-4.1,-79.2167,1980-04-23T00:00:00,G. Harling,2400.0,,1980.0,1980.0,1980.0,QCA,Alnus acuminata,,,,POINT (-79.2167 -4.1),[2522.],2500-3000
0,QCA141572,1477,Clethraceae,Clethra,revoluta,"Zamora hacia Huaico, en la pista de la derecha, en las laderas de la izquierda, frente de la puerta de la finca Madrigal del Carmen, 100m antes de llegar a las instalaciones del agua potable.",-4.03444,-79.1744,1996-09-26T00:00:00,A. Garmendia,2220.0,,1996.0,1995.0,1990.0,QCA,Clethra revoluta,,,,POINT (-79.1744 -4.03444),[2320.],2001-2500
1,QCA197060,1753,Clethraceae,Clethra,revoluta,Bosque de la Estación Científica San Francisco.,-3.97167,-79.0789,1996-10-16T00:00:00,R.B. Burnham,1900.0,,1996.0,1995.0,1990.0,QCA,Clethra revoluta,,,,POINT (-79.0789 -3.97167),[1826.],1501-2000
2,QCA198091,9,Clethraceae,Clethra,revoluta,"Terreno de la Estacion Cientifica San Francisco, derrumbes en estados diferentes de desarrollo al lado del camino.",-3.97639,-79.0797,1997-11-01T00:00:00,DDS,1900.0,,1997.0,1995.0,1990.0,QCA,Clethra revoluta,,,,POINT (-79.0797 -3.97639),[1873.],1501-2000
3,QCA215296,9,Clethraceae,Clethra,revoluta,Terreno de la Estación Científica San Francisco. Exposición N-NW. Inclinación 40-60º. ,-3.97639,-79.0797,1997-11-01T00:00:00,R. Bussmann,1900.0,,1997.0,1995.0,1990.0,QCA,Clethra revoluta,,,,POINT (-79.0797 -3.97639),[1873.],1501-2000
4,QCA221546,130,Clethraceae,Clethra,revoluta,Finca Feijó.,-4.02389,-79.0156,2006-04-02T00:00:00,A. Gerique,1500.0,,2006.0,2005.0,2000.0,QCA,Clethra revoluta,,,,POINT (-79.0156 -4.02389),[1202.],1001-1500
5,QCA222691,6122,Clethraceae,Clethra,revoluta,Reserva Siempreverde. Ubicada a 45m de Sta. Rosa en vía Cotacachi-Apuela. Colecciones a lo largo del sendero que lleva al Mirador.,0.3775,-78.4292,2013-04-13T00:00:00,A.J. Pérez,2600.0,2800.0,2013.0,2010.0,2010.0,QCA,Clethra revoluta,,,,POINT (-78.4292 0.3775),[2438.],2001-2500
12,QCA231897,8143,Clethraceae,Clethra,revoluta,Vía Salcedo-Tena. Colecciones a lo largo del camino desde Los Carmelos-Río Ana Tenorio al Río Langoa.,-0.971389,-78.2539,2015-02-18T00:00:00,A.J. Pérez,2850.0,2600.0,2015.0,2015.0,2010.0,QCA,Clethra revoluta,,,,POINT (-78.2539 -0.971389),[2903.],2500-3000
14,QCA241094,5380,Clethraceae,Clethra,revoluta,"Podocarpus National Park, Cajanuma entrance.",-4.11667,-79.1667,2015-10-26T00:00:00,J. Homeier,2890.0,,2015.0,2015.0,2010.0,QCA,Clethra revoluta,,,,POINT (-79.1667 -4.11667),[2964.],2500-3000
15,QCA241136,211,Clethraceae,Clethra,revoluta,"Cantón Loja. Parroquia Gualel, Sector Soroche. Ceja Andina.",-3.715161,-79.393909,2018-06-04T00:00:00,N. E. Tana,,3282.0,2018.0,2015.0,2010.0,QCA,Clethra revoluta,,,,POINT (-79.393909 -3.715161),[3311.],3000-3500
16,QCA242058,822,Clethraceae,Clethra,revoluta,Siempre Verde Cloud Forest Reserve. Off trail.,0.37,-78.410861,2015-07-21T00:00:00,R. Jiménez Paz,,2756.0,2015.0,2015.0,2010.0,QCA,Clethra revoluta,,,,POINT (-78.410861 0.37),[2698.],2500-3000
17,QCA246423,7701,Clethraceae,Clethra,revoluta,A lo largo de la vía entre Gualchan - El Carmen - Chical.,0.866666667,-78.21666667,2014-11-02T00:00:00,A.J. Pérez,1900.0,2200.0,2014.0,2010.0,2010.0,QCA,Clethra revoluta,,,,POINT (-78.21666667 0.866666667),[2235.],2001-2500
